MÊS ;DATA;TRANSPORTADORA;LIBERADOS;MALHA ;OPERAÇÃO;TOTAL TRANSPORTADORAS;% MALHA
Janeiro;2025-01-01;FE;0;0;LML;0;0.0
Janeiro;2025-01-01;DMD;0;0;LML;0;0.0
Janeiro;2025-01-01;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-01;Assis Rio;0;0;Direta;0;0.0
Janeiro;2025-01-01;PJ;0;0;Direta;0;0.0
Janeiro;2025-01-01;JCM;0;0;Direta;0;0.0
Janeiro;2025-01-01;REU;0;0;Direta;0;0.0
Janeiro;2025-01-01;Riviera;0;0;Direta;0;0.0
Janeiro;2025-01-02;FE;23;6;LML;29;0.207
Janeiro;2025-01-02;DMD;17;3;LML;20;0.15
Janeiro;2025-01-02;Zumpy;29;2;LML;31;0.065
Janeiro;2025-01-02;Assis Rio;46;6;Direta;52;0.115
Janeiro;2025-01-02;PJ;10;1;Direta;11;0.091
Janeiro;2025-01-02;JCM;8;2;Direta;10;0.2
Janeiro;2025-01-02;REU;20;2;Direta;22;0.091
Janeiro;2025-01-02;Riviera;6;1;Direta;7;0.143
Janeiro;2025-01-03;FE;25;2;LML;27;0.074
Janeiro;2025-01-03;DMD;18;1;LML;19;0.053
Janeiro;2025-01-03;Zumpy;40;8;LML;48;0.167
Janeiro;2025-01-03;Assis Rio;51;5;Direta;56;0.089
Janeiro;2025-01-03;PJ;14;2;Direta;16;0.125
Janeiro;2025-01-03;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-03;REU;35;4;Direta;39;0.103
Janeiro;2025-01-03;Riviera;7;1;Direta;8;0.125
Janeiro;2025-01-04;FE;0;0;LML;0;0.0
Janeiro;2025-01-04;DMD;0;0;LML;0;0.0
Janeiro;2025-01-04;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-04;Assis Rio;49;6;Direta;55;0.109
Janeiro;2025-01-04;PJ;16;1;Direta;17;0.059
Janeiro;2025-01-04;JCM;8;0;Direta;8;0.0
Janeiro;2025-01-04;REU;33;4;Direta;37;0.108
Janeiro;2025-01-04;Riviera;7;0;Direta;7;0.0
Janeiro;2025-01-05;FE;0;0;LML;0;0.0
Janeiro;2025-01-05;DMD;0;0;LML;0;0.0
Janeiro;2025-01-05;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-05;Assis Rio;0;0;Direta;0;0.0
Janeiro;2025-01-05;PJ;0;0;Direta;0;0.0
Janeiro;2025-01-05;JCM;0;0;Direta;0;0.0
Janeiro;2025-01-05;REU;0;0;Direta;0;0.0
Janeiro;2025-01-05;Riviera;0;0;Direta;0;0.0
Janeiro;2025-01-06;FE;27;1;LML;28;0.036
Janeiro;2025-01-06;DMD;18;3;LML;21;0.143
Janeiro;2025-01-06;Zumpy;40;3;LML;43;0.07
Janeiro;2025-01-06;Assis Rio;11;3;Direta;14;0.214
Janeiro;2025-01-06;PJ;22;4;Direta;26;0.154
Janeiro;2025-01-06;JCM;8;2;Direta;10;0.2
Janeiro;2025-01-06;REU;44;2;Direta;46;0.043
Janeiro;2025-01-06;Riviera;7;2;Direta;9;0.222
Janeiro;2025-01-07;FE;28;5;LML;33;0.152
Janeiro;2025-01-07;DMD;18;0;LML;18;0.0
Janeiro;2025-01-07;Zumpy;39;5;LML;44;0.114
Janeiro;2025-01-07;Assis Rio;51;2;Direta;53;0.038
Janeiro;2025-01-07;PJ;20;1;Direta;21;0.048
Janeiro;2025-01-07;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-07;REU;32;4;Direta;36;0.111
Janeiro;2025-01-07;Riviera;6;1;Direta;7;0.143
Janeiro;2025-01-08;FE;30;3;LML;33;0.091
Janeiro;2025-01-08;DMD;16;4;LML;20;0.2
Janeiro;2025-01-08;Zumpy;34;3;LML;37;0.081
Janeiro;2025-01-08;Assis Rio;47;4;Direta;51;0.078
Janeiro;2025-01-08;PJ;15;3;Direta;18;0.167
Janeiro;2025-01-08;JCM;8;0;Direta;8;0.0
Janeiro;2025-01-08;REU;30;3;Direta;33;0.091
Janeiro;2025-01-08;Riviera;5;0;Direta;5;0.0
Janeiro;2025-01-09;FE;29;4;LML;33;0.121
Janeiro;2025-01-09;DMD;19;1;LML;20;0.05
Janeiro;2025-01-09;Zumpy;35;6;LML;41;0.146
Janeiro;2025-01-09;Assis Rio;53;4;Direta;57;0.07
Janeiro;2025-01-09;PJ;17;1;Direta;18;0.056
Janeiro;2025-01-09;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-09;REU;25;3;Direta;28;0.107
Janeiro;2025-01-09;Riviera;5;2;Direta;7;0.286
Janeiro;2025-01-10;FE;28;2;LML;30;0.067
Janeiro;2025-01-10;DMD;18;2;LML;20;0.1
Janeiro;2025-01-10;Zumpy;35;6;LML;41;0.146
Janeiro;2025-01-10;Assis Rio;57;5;Direta;62;0.081
Janeiro;2025-01-10;PJ;16;2;Direta;18;0.111
Janeiro;2025-01-10;JCM;7;0;Direta;7;0.0
Janeiro;2025-01-10;REU;42;3;Direta;45;0.067
Janeiro;2025-01-10;Riviera;7;0;Direta;7;0.0
Janeiro;2025-01-11;FE;12;4;LML;16;0.25
Janeiro;2025-01-11;DMD;7;1;LML;8;0.125
Janeiro;2025-01-11;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-11;Assis Rio;52;2;Direta;54;0.037
Janeiro;2025-01-11;PJ;16;2;Direta;18;0.111
Janeiro;2025-01-11;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-11;REU;43;3;Direta;46;0.065
Janeiro;2025-01-11;Riviera;5;2;Direta;7;0.286
Janeiro;2025-01-12;FE;0;0;LML;0;0.0
Janeiro;2025-01-12;DMD;0;0;LML;0;0.0
Janeiro;2025-01-12;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-12;Assis Rio;0;0;Direta;0;0.0
Janeiro;2025-01-12;PJ;0;0;Direta;0;0.0
Janeiro;2025-01-12;JCM;0;0;Direta;0;0.0
Janeiro;2025-01-12;REU;0;0;Direta;0;0.0
Janeiro;2025-01-12;Riviera;0;0;Direta;0;0.0
Janeiro;2025-01-13;FE;28;3;LML;31;0.097
Janeiro;2025-01-13;DMD;21;0;LML;21;0.0
Janeiro;2025-01-13;Zumpy;37;6;LML;43;0.14
Janeiro;2025-01-13;Assis Rio;56;6;Direta;62;0.097
Janeiro;2025-01-13;PJ;16;1;Direta;17;0.059
Janeiro;2025-01-13;JCM;7;1;Direta;8;0.125
Janeiro;2025-01-13;REU;42;4;Direta;46;0.087
Janeiro;2025-01-13;Riviera;7;0;Direta;7;0.0
Janeiro;2025-01-14;FE;30;3;LML;33;0.091
Janeiro;2025-01-14;DMD;21;3;LML;24;0.125
Janeiro;2025-01-14;Zumpy;33;5;LML;38;0.132
Janeiro;2025-01-14;Assis Rio;52;5;Direta;57;0.088
Janeiro;2025-01-14;PJ;13;2;Direta;15;0.133
Janeiro;2025-01-14;JCM;8;3;Direta;11;0.273
Janeiro;2025-01-14;REU;40;1;Direta;41;0.024
Janeiro;2025-01-14;Riviera;7;2;Direta;9;0.222
Janeiro;2025-01-15;FE;30;3;LML;33;0.091
Janeiro;2025-01-15;DMD;22;4;LML;26;0.154
Janeiro;2025-01-15;Zumpy;37;1;LML;38;0.026
Janeiro;2025-01-15;Assis Rio;53;4;Direta;57;0.07
Janeiro;2025-01-15;PJ;14;2;Direta;16;0.125
Janeiro;2025-01-15;JCM;9;2;Direta;11;0.182
Janeiro;2025-01-15;REU;35;2;Direta;37;0.054
Janeiro;2025-01-15;Riviera;6;1;Direta;7;0.143
Janeiro;2025-01-16;FE;23;1;LML;24;0.042
Janeiro;2025-01-16;DMD;19;5;LML;24;0.208
Janeiro;2025-01-16;Zumpy;26;5;LML;31;0.161
Janeiro;2025-01-16;Assis Rio;56;4;Direta;60;0.067
Janeiro;2025-01-16;PJ;14;3;Direta;17;0.176
Janeiro;2025-01-16;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-16;REU;27;2;Direta;29;0.069
Janeiro;2025-01-16;Riviera;6;0;Direta;6;0.0
Janeiro;2025-01-17;FE;19;2;LML;21;0.095
Janeiro;2025-01-17;DMD;18;3;LML;21;0.143
Janeiro;2025-01-17;Zumpy;25;5;LML;30;0.167
Janeiro;2025-01-17;Assis Rio;52;7;Direta;59;0.119
Janeiro;2025-01-17;PJ;13;0;Direta;13;0.0
Janeiro;2025-01-17;JCM;7;0;Direta;7;0.0
Janeiro;2025-01-17;REU;37;2;Direta;39;0.051
Janeiro;2025-01-17;Riviera;5;2;Direta;7;0.286
Janeiro;2025-01-18;FE;14;3;LML;17;0.176
Janeiro;2025-01-18;DMD;10;1;LML;11;0.091
Janeiro;2025-01-18;Zumpy;11;1;LML;12;0.083
Janeiro;2025-01-18;Assis Rio;45;2;Direta;47;0.043
Janeiro;2025-01-18;PJ;16;2;Direta;18;0.111
Janeiro;2025-01-18;JCM;7;1;Direta;8;0.125
Janeiro;2025-01-18;REU;35;4;Direta;39;0.103
Janeiro;2025-01-18;Riviera;2;1;Direta;3;0.333
Janeiro;2025-01-19;FE;0;0;LML;0;0.0
Janeiro;2025-01-19;DMD;0;0;LML;0;0.0
Janeiro;2025-01-19;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-19;Assis Rio;0;0;Direta;0;0.0
Janeiro;2025-01-19;PJ;0;0;Direta;0;0.0
Janeiro;2025-01-19;JCM;0;0;Direta;0;0.0
Janeiro;2025-01-19;REU;0;0;Direta;0;0.0
Janeiro;2025-01-19;Riviera;0;0;Direta;0;0.0
Janeiro;2025-01-20;FE;26;4;LML;30;0.133
Janeiro;2025-01-20;DMD;20;2;LML;22;0.091
Janeiro;2025-01-20;Zumpy;31;6;LML;37;0.162
Janeiro;2025-01-20;Assis Rio;53;5;Direta;58;0.086
Janeiro;2025-01-20;PJ;15;2;Direta;17;0.118
Janeiro;2025-01-20;JCM;8;1;Direta;9;0.111
Janeiro;2025-01-20;REU;36;2;Direta;38;0.053
Janeiro;2025-01-20;Riviera;4;1;Direta;5;0.2
Janeiro;2025-01-21;FE;28;3;LML;31;0.097
Janeiro;2025-01-21;DMD;19;2;LML;21;0.095
Janeiro;2025-01-21;Zumpy;34;6;LML;40;0.15
Janeiro;2025-01-21;Assis Rio;47;5;Direta;52;0.096
Janeiro;2025-01-21;PJ;15;1;Direta;16;0.063
Janeiro;2025-01-21;JCM;4;2;Direta;6;0.333
Janeiro;2025-01-21;REU;33;4;Direta;37;0.108
Janeiro;2025-01-21;Riviera;7;0;Direta;7;0.0
Janeiro;2025-01-22;FE;29;4;LML;33;0.121
Janeiro;2025-01-22;DMD;19;1;LML;20;0.05
Janeiro;2025-01-22;Zumpy;32;6;LML;38;0.158
Janeiro;2025-01-22;Assis Rio;47;4;Direta;51;0.078
Janeiro;2025-01-22;PJ;14;1;Direta;15;0.067
Janeiro;2025-01-22;JCM;5;1;Direta;6;0.167
Janeiro;2025-01-22;REU;31;3;Direta;34;0.088
Janeiro;2025-01-22;Riviera;6;1;Direta;7;0.143
Janeiro;2025-01-23;FE;25;7;LML;32;0.219
Janeiro;2025-01-23;DMD;17;1;LML;18;0.056
Janeiro;2025-01-23;Zumpy;37;3;LML;40;0.075
Janeiro;2025-01-23;Assis Rio;48;9;Direta;57;0.158
Janeiro;2025-01-23;PJ;13;0;Direta;13;0.0
Janeiro;2025-01-23;JCM;6;0;Direta;6;0.0
Janeiro;2025-01-23;REU;28;1;Direta;29;0.034
Janeiro;2025-01-23;Riviera;5;0;Direta;5;0.0
Janeiro;2025-01-24;FE;29;4;LML;33;0.121
Janeiro;2025-01-24;DMD;18;1;LML;19;0.053
Janeiro;2025-01-24;Zumpy;33;2;LML;35;0.057
Janeiro;2025-01-24;Assis Rio;53;4;Direta;57;0.07
Janeiro;2025-01-24;PJ;18;2;Direta;20;0.1
Janeiro;2025-01-24;JCM;6;2;Direta;8;0.25
Janeiro;2025-01-24;REU;34;2;Direta;36;0.056
Janeiro;2025-01-24;Riviera;8;2;Direta;10;0.2
Janeiro;2025-01-25;FE;0;0;LML;0;0.0
Janeiro;2025-01-25;DMD;0;0;LML;0;0.0
Janeiro;2025-01-25;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-25;Assis Rio;42;3;Direta;45;0.067
Janeiro;2025-01-25;PJ;15;2;Direta;17;0.118
Janeiro;2025-01-25;JCM;7;2;Direta;9;0.222
Janeiro;2025-01-25;REU;31;2;Direta;33;0.061
Janeiro;2025-01-25;Riviera;2;0;Direta;2;0.0
Janeiro;2025-01-26;FE;0;0;LML;0;0.0
Janeiro;2025-01-26;DMD;0;0;LML;0;0.0
Janeiro;2025-01-26;Zumpy;0;0;LML;0;0.0
Janeiro;2025-01-26;Assis Rio;0;0;Direta;0;0.0
Janeiro;2025-01-26;PJ;0;0;Direta;0;0.0
Janeiro;2025-01-26;JCM;0;0;Direta;0;0.0
